id,name,overall elo,auto elo,teleop elo,fuel elo,takeoff elo,gear elo,,,Hitchhikers,2059,,
frc435,Robodogs,1120.844358,1091.178751,1091.80936,997.5437837,1115.938414,1092.14078,,,Pitt Pirates,2642,,
frc3331,Tar Heel Robots,1010.213445,1054.332728,1060.314953,1007.991499,1083.036364,1060.344614,,,Hawktimus Prime,3229,,
frc5727,REaCH Omegabytes,953.5002474,1054.696917,1054.665674,999.1489965,1062.368619,1054.75284,,,TerrorBytes,4561,,
frc6426,Robo Gladiators,992.5696971,1047.829821,1047.780612,1010.911223,1037.898428,1047.776956,,,RotoRaptors,3737,,
frc4795,EastBots,1027.082864,1034.739726,1035.230747,1048.298987,1054.482162,1035.002862,,,RoboDogs,435,,
frc2059,The Hitchhikers,1121.680782,1029.768761,1030.54052,1033.30474,1029.617483,1030.286962,,,Green Hope ,5190,,
frc6512,Robonauts,907.4909943,1033.12062,1027.101405,1001.608531,1009.599911,1027.330026,,,Spork,3196,,
frc900,?The Zebracorns?,1031.683572,1024.568397,1024.902466,1112.911713,1016.342493,1025.05257,,,Gear Cats,6500,,
frc4534,Wired Wizards,930.319585,1017.821654,1024.211903,1001.229433,1007.190114,1024.228723,,,Bull City Botics,6332,,
frc6500,GearCats,1051.255883,1022.837825,1029.197354,1001.456712,1024.259406,1023.094875,,,Boneyard Robotics,2682,,Maybe low for Boneyard
frc3796,Technical Assassins,997.546198,1014.398237,1014.504539,1021.555235,971.9095517,1014.654774,,,Zebracorns,900,,Sketchy Rankings Below 
frc2642,Pitt Pirates,1085.128544,1013.084998,1013.62827,1016.612229,1031.241049,1013.281396,,,East Bots,4795,,Too High?
frc4829,Titanium Tigers,971.1220653,1010.564699,1010.962539,983.8605165,1003.707515,1010.960082,,,TechnoWolves,5518,,
frc4828,RoboEagles,947.210111,1013.9033,1007.855621,1014.50909,1001.043758,1007.917385,,,Wired Wizards,4534,,
frc6332,Bull City Botics,1004.629897,1006.537316,1006.797483,990.1008216,1006.236477,1006.860348,,,Technical Assasins,3796,,
frc5518,Techno Wolves,961.8233631,1006.544729,1006.526759,1019.98081,1004.240885,1006.802592,,,Tar Heel Robotics,3331,,
frc3822,Neon Jets,903.6769571,997.5874212,998.0454818,961.1910397,1005.585605,998.1311942,,,RoboEagles,4828,,
frc3336,Zimanators,908.4738406,994.6733082,994.8874274,1003.157076,987.7259452,994.8242502,,,Phenix,6214,,
frc3737,Roto-Raptors,1082.897978,994.2798204,1000.008597,1019.847898,1013.102054,994.2979884,,,RECHS Eagles,6729,,
frc5762,FranklinBots,916.7603289,993.9298859,994.2311655,989.7552144,975.4232289,994.1692358,,,SUM,6003,,
frc5919,JoCo RoBos,938.1176479,986.8627813,993.3145807,990.0915148,975.7661999,993.4142154,,,Titanium Tigers,4829,,
frc6214,PHEnix,1000.541399,992.2419746,992.6210299,1007.1484,1000.214515,992.5551056,,,f(x) Robotics,6004,,
frc6240,Eagles of the Knight,956.5807687,990.2587048,990.1942933,983.1345369,959.7026017,990.351284,,,,,,
frc3229,Hawktimus Prime,1065.920722,987.3601407,982.2566199,1001.464183,981.1974179,987.6306922,,,,,,
frc6003,SUM,1011.103149,986.7171329,986.7894138,964.8762339,1012.915895,986.6724533,,,,,,
frc6729,RECHS Eagles,1006.841695,980.0172452,985.5378759,984.6776957,979.1196772,985.6462262,,,,,,
frc6004,f(x) Robotics,955.425158,984.8109273,984.8983002,1009.384782,978.1289392,984.8354829,,,,,,
frc3215,Apollo,956.466088,983.8018684,983.9695774,985.4615964,977.9227954,983.8266218,,,,,,
frc6502,DARC SIDE,939.6171058,972.6381834,979.3487204,1003.244845,965.487313,979.138642,,,,,,
frc2682,Boneyard Robotics,1008.129895,973.7334759,967.6206686,1003.48118,960.5851753,973.4535935,,,,,,
frc3196,Team SPORK,1105.113272,971.2426821,971.2088095,980.4849227,980.497008,971.1618177,,,,,,
frc4561,TerrorBytes,1065.099501,965.5511828,965.7234468,1009.563394,982.1036353,966.0083216,,,,,,
frc5160,Chargers,1015.840409,948.7745786,948.2181323,1004.908506,953.7069403,948.7500867,,,,,,
frc5190,Green Hope Falcons,1005.224463,945.9696122,945.4683505,989.9109608,955.48526,946.0778558,,,,,,
frc6215,Armored Eagles,960.7872337,930.4196156,930.2428897,979.4253365,952.3098013,930.3141466,,,,,,
